1 0.00 0.00
2 0.20 0.20
3 0.34 0.34
4 0.50 0.50
5 0.59 0.59
6 0.67 0.67
7 0.75 0.75
8 0.81 0.81
9 0.83 0.83
10 0.85 0.85
11 0.91 0.91
12 0.91 0.91
13 0.94 0.94
14 0.94 0.94
15 0.96 0.96
16 0.97 0.97
17 0.98 0.98
18 0.98 0.98
19 0.98 0.98
20 0.98 0.98
21 0.99 0.99
22 1.00 1.00
23 0.99 0.99
24 0.99 0.99
25 1.00 1.00
26 0.99 0.99
27 1.00 1.00
28 1.00 1.00
29 1.00 1.00
30 1.00 1.00

1 0.00 0.00
2 0.40 0.40
3 0.65 0.65
4 0.76 0.76
5 0.87 0.87
6 0.94 0.94
7 0.95 0.95
8 0.97 0.97
9 0.99 0.99
10 0.99 0.99
11 0.99 0.99
12 1.00 1.00
13 1.00 1.00
14 1.00 1.00
15 1.00 1.00
16 1.00 1.00
17 1.00 1.00
18 1.00 1.00
19 1.00 1.00
20 1.00 1.00
21 1.00 1.00
22 1.00 1.00
23 1.00 1.00
24 1.00 1.00
25 1.00 1.00
26 1.00 1.00
27 1.00 1.00
28 1.00 1.00
29 1.00 1.00
30 1.00 1.00

1 0.00 0.00
2 0.56 0.56
3 0.85 0.85
4 0.94 0.94
5 0.97 0.97
6 0.99 0.99
7 1.00 1.00
8 1.00 1.00
9 1.00 1.00
10 1.00 1.00
11 1.00 1.00
12 1.00 1.00
13 1.00 1.00
14 1.00 1.00
15 1.00 1.00
16 1.00 1.00
17 1.00 1.00
18 1.00 1.00
19 1.00 1.00
20 1.00 1.00
21 1.00 1.00
22 1.00 1.00
23 1.00 1.00
24 1.00 1.00
25 1.00 1.00
26 1.00 1.00
27 1.00 1.00
28 1.00 1.00
29 1.00 1.00
30 1.00 1.00

1 0.00 0.00
2 0.80 0.80
3 0.96 0.96
4 0.99 0.99
5 1.00 1.00
6 1.00 1.00
7 1.00 1.00
8 1.00 1.00
9 1.00 1.00
10 1.00 1.00
11 1.00 1.00
12 1.00 1.00
13 1.00 1.00
14 1.00 1.00
15 1.00 1.00
16 1.00 1.00
17 1.00 1.00
18 1.00 1.00
19 1.00 1.00
20 1.00 1.00
21 1.00 1.00
22 1.00 1.00
23 1.00 1.00
24 1.00 1.00
25 1.00 1.00
26 1.00 1.00
27 1.00 1.00
28 1.00 1.00
29 1.00 1.00
30 1.00 1.00

1 0.00 0.00
2 0.21 0.21
3 0.35 0.35
4 0.49 0.49
5 0.58 0.58
6 0.67 0.67
7 0.72 0.72
8 0.80 0.80
9 0.82 0.82
10 0.88 0.88
11 0.90 0.90
12 0.91 0.91
