26 0.98 0.98
27 0.99 0.99
28 1.00 1.00
29 0.99 0.99
30 0.99 0.99

1 0.00 0.00
2 0.21 0.21
3 0.35 0.35
4 0.45 0.45
5 0.61 0.61
6 0.65 0.65
7 0.73 0.73
8 0.75 0.75
9 0.83 0.83
10 0.88 0.88
11 0.89 0.89
12 0.89 0.89
13 0.94 0.94
14 0.94 0.94
15 0.96 0.96
16 0.95 0.95
17 0.96 0.96
18 0.99 0.99
19 0.99 0.99
20 0.98 0.98
21 0.99 0.99
22 0.99 0.99
23 0.99 0.99
24 1.00 1.00
25 0.99 0.99
26 0.99 0.99
27 1.00 1.00
28 1.00 1.00
29 1.00 1.00
30 1.00 1.00

1 0.00 0.00
2 0.20 0.20
3 0.40 0.40
4 0.48 0.48
5 0.65 0.65
6 0.78 0.78
7 0.80 0.80
8 0.85 0.85
9 0.94 0.94
10 0.92 0.92
11 0.92 0.92
12 0.92 0.92
13 0.96 0.96
14 0.99 0.99
15 0.98 0.98
16 0.99 0.99
17 0.98 0.98
18 0.99 0.99
19 1.00 1.00
20 1.00 1.00
21 0.99 0.99
22 1.00 1.00
23 1.00 1.00
24 1.00 1.00
25 1.00 1.00
26 1.00 1.00
27 1.00 1.00
28 1.00 1.00
29 1.00 1.00
30 1.00 1.00
